user_id	country	age	gender	creation_time
0	UK	31	m	2002-12-28 01:00:00
1	US	43	m	2003-04-15 02:00:00
2	UK	35	m	2002-10-29 01:00:00
3	BR	31	m	2003-07-20 02:00:00
4		51	m	2003-07-21 02:00:00
5	ES	38	m	2003-07-22 02:00:00
6	AT	28	n	2003-07-23 02:00:00
7		-1	n	2003-07-24 02:00:00
8	US	36	m	2003-02-10 19:05:23
9	IT	45	m	2003-07-29 02:00:00
10	AU	29	m	2003-08-05 02:00:00
11		-1	n	2003-02-11 03:53:38
12	US	33	m	2003-02-11 16:00:45
13		-1		2003-02-16 19:41:31
14	UK	48	m	2003-02-18 21:44:13
15	US	28	m	2003-02-24 03:30:33
16	NL	-1		2003-02-22 17:59:38
17	US	30	m	2003-02-24 04:43:09
18		-1	n	2003-03-18 07:00:23
19	IE	-1	m	2003-07-08 02:00:00
20		-1	n	2003-03-19 13:18:50
21	DE	-1	f	2003-07-13 02:00:00
22	UK	37	n	2003-05-07 02:00:00
23	AT	30	m	2003-04-28 02:00:00
24		-1	n	2003-07-17 02:00:00
25	DE	31	n	2003-07-15 02:00:00
26		-1	n	2003-04-20 02:00:00
27		-1	n	2002-10-29 01:00:00
28	DE	-1		2003-06-27 02:00:00
29		-1		2002-11-16 01:00:00
30		-1	n	2002-11-18 01:00:00
31	US	36	n	2003-03-19 17:19:30
32	US	36	m	2003-07-07 02:00:00
33		-1	n	2003-03-19 17:38:11
34	CA	-1	m	2003-03-22 22:52:48
35	US	28	n	2003-03-26 16:09:17
36	UK	29	m	2003-03-27 12:17:12
37	UK	33	m	2003-03-30 23:01:30
38	DK	31	m	2003-04-03 01:06:21
39		-1		2003-04-01 01:01:33
40		28	m	2003-04-21 05:30:10
41	UK	26		2003-04-20 13:23:04
42	RU	30	m	2003-04-10 01:07:48
43		-1		2003-05-17 21:08:22
44	US	29	f	2003-05-27 02:54:37
45	UK	36	m	2003-06-02 10:28:08
46	DE	27	m	2003-06-03 13:45:19
47	US	30	f	2003-05-27 04:18:30
48	BR	35	m	2003-06-05 22:19:05
49	CH	27	m	2003-06-10 21:53:31
50	JP	37	m	2003-06-12 08:18:30
51	US	-1	m	2003-06-16 01:01:23
52	US	26	m	2003-12-10 18:54:16
53	US	22	m	2003-06-26 05:12:43
54	SE	31	m	2003-12-16 21:12:34
55	DK	36	m	2003-12-17 16:58:16
56	US	37	m	2003-12-17 20:24:01
57	UK	-1	m	2003-06-16 15:51:10
58	US	33	m	2004-01-04 21:48:00
59	DE	27	m	2004-01-03 16:06:12
60	UK	33	m	2004-01-07 21:10:52
61	US	30	m	2003-06-20 02:34:58
62		26		2004-01-10 06:08:36
63		-1	n	2003-07-14 02:00:00
64		27	n	2004-01-12 04:26:00
65	UK	30	m	2004-01-10 18:43:40
66	CA	26	m	2004-01-12 06:54:31
67	FI	-1	m	2004-01-12 10:44:34
68	UK	32	m	2004-01-13 00:20:20
69	UK	24	m	2004-01-13 21:18:35
70	US	30	m	2004-01-15 09:59:28
71	US	25	m	2003-07-01 08:52:15
72	UK	40	m	2003-06-30 15:32:00
73	US	27	m	2004-01-13 07:22:42
74		-1	m	2003-12-15 17:37:20
75	US	53	m	2003-07-02 22:25:34
76	UK	39	m	2003-11-20 22:08:33
77	UK	27	m	2003-09-20 20:05:53
78	US	-1	m	2003-11-05 01:11:41
79	BE	26	m	2003-12-07 15:57:21
80	DE	-1	m	2004-01-24 14:43:25
81	NO	-1	f	2003-07-08 00:27:55
82	US	21	m	2004-01-24 22:35:39
83	AU	24	f	2004-01-12 12:49:53
84	US	-1	m	2004-02-03 20:10:54
85		-1	n	2004-02-08 13:42:04
86		26	f	2004-02-02 18:21:00
87	UK	27	m	2004-02-22 19:33:53
88	UK	25	f	2004-02-22 18:14:11
89	NO	25	m	2004-02-21 12:49:50
90		-1		2004-02-26 09:46:24
91		-1	n	2004-03-04 12:05:59
92	US	-1		2004-03-01 05:20:33
93	UK	29	m	2003-07-13 21:59:34
94	US	29	m	2004-01-19 21:27:41
95		-1	n	2004-03-10 05:13:36
96	CA	36	m	2004-03-14 02:42:40
97		29	n	2004-03-13 23:24:44
98	DE	26	m	2004-03-09 15:59:49
99	UK	35	m	2004-03-14 19:09:05
100	US	24	m	2004-03-15 04:06:17
101	DE	26	f	2004-03-14 21:32:43
102	US	32	m	2004-03-15 22:23:15
103	RU	-1	n	2004-03-18 13:03:09
104	RU	29	f	2004-03-18 16:28:04
105	US	28	m	2004-03-14 00:04:31
106		35	m	2004-03-18 20:11:58
107	AQ	28	m	2004-03-18 06:45:19
108	HU	28	m	2004-01-17 01:51:20
109	RU	31	m	2004-03-18 02:23:46
110	SE	28	m	2003-12-08 23:54:02
111		-1		2004-03-21 20:00:53
112	NO	26	m	2004-03-20 18:21:43
113	US	23	m	2004-03-22 03:48:34
114	US	27	f	2004-03-24 19:37:33
115	CA	27	m	2004-03-08 07:36:40
116	BR	-1	m	2004-03-23 07:34:34
117	CZ	30	m	2004-03-19 12:00:11
118	DE	30	m	2004-03-20 01:39:20
119	DE	25	m	2004-03-19 15:53:05
120	HU	26	m	2004-03-28 19:24:13
121	US	26	m	2004-03-28 23:43:40
122	SE	38	m	2004-03-29 09:32:24
123	SE	33	n	2004-03-29 14:10:50
124	US	-1	n	2004-03-25 07:51:35
125	NL	47	f	2004-03-24 23:54:45
126	UK	32	m	2004-03-29 16:48:01
127	SE	28	m	2004-03-29 17:14:32
128	NL	30	m	2004-03-29 20:26:10
129	KH	24	n	2004-04-02 06:07:18
130	LV	26	m	2004-04-02 15:07:00
131	UK	-1	f	2004-03-30 02:17:53
132	NL	35	m	2004-04-02 03:35:18
133	AQ	0	m	2004-04-03 01:43:38
134	NL	37	m	2004-04-03 01:43:27
135	US	26	n	2004-04-02 21:27:25
136	UK	26	m	2004-04-08 17:38:08
137	AU	27	m	2004-04-07 10:50:41
138	IL	25	m	2004-04-09 16:29:30
139	NL	26	f	2004-04-07 12:41:37
140	US	26	m	2004-04-08 00:44:27
141	SE	29	m	2004-04-07 23:43:04
142		-1	n	2004-04-10 10:32:08
143	FI	47	m	2004-04-10 17:43:07
144	US	30	m	2004-04-10 02:06:31
145	US	40	m	2004-04-11 03:45:20
146	NL	26	m	2004-04-11 21:34:48
147	NL	25	n	2004-04-12 15:04:47
148	US	29	m	2004-04-14 23:17:58
149		31	m	2004-04-04 13:24:27
150	SE	31	m	2004-04-15 16:57:42
151	CA	-1	m	2004-04-17 02:53:17
152	FI	35	m	2004-04-11 11:44:22
153	DE	27	m	2004-04-17 18:29:39
154	UK	42	m	2004-04-16 18:06:50
155	NZ	35	m	2004-04-17 20:40:04
156	US	28	m	2004-04-17 19:35:10
157	US	30	m	2004-04-19 04:27:12
158	UK	-1	n	2004-04-18 19:02:55
159	US	26	f	2004-04-07 08:50:48
160	US	94	m	2004-03-25 02:27:04
161	US	27	m	2004-04-05 09:05:57
162	FI	27	m	2004-04-04 04:54:38
163	JP	37	f	2004-04-04 18:00:20
164	BE	28	m	2004-04-03 17:44:08
165	DE	31	m	2004-04-19 15:01:23
166	ZA	35	m	2004-04-05 12:07:44
167	US	34	m	2004-04-19 18:52:31
168	NL	27	m	2004-04-05 10:50:08
169	AT	27	m	2004-04-19 15:15:27
170	ES	25	m	2004-04-06 02:13:49
171	US	30	f	2004-04-21 07:04:11
172	DE	25	m	2004-04-21 11:08:31
173		-1		2004-04-21 11:16:47
174	RU	33	m	2004-04-07 03:01:04
175	DE	25	m	2004-04-19 22:28:37
176	US	27	m	2004-04-22 07:44:27
177	NL	-1	m	2004-04-22 22:01:59
178	UK	26	f	2004-04-22 19:54:01
179	UK	30	m	2004-04-21 20:45:49
180	NL	34	m	2004-04-23 21:27:34
181	UA	28	m	2004-04-21 14:47:41
182	NL	27	m	2004-04-23 21:18:59
183	UK	47	n	2004-04-23 11:02:06
184	NL	31	m	2004-04-23 21:46:46
185	US	26	f	2004-04-28 20:43:54
186	NZ	35	m	2004-04-26 15:29:45
187	NL	26	m	2004-04-23 20:30:12
188	US	25	f	2004-04-24 04:11:19
189	US	31	m	2004-04-29 01:48:54
190	US	27	m	2004-04-29 12:19:31
191		-1	m	2004-04-28 23:12:15
192	US	-1	m	2004-04-28 22:08:16
193		30	m	2004-04-27 03:02:01
194	JP	40	n	2004-04-30 13:08:37
195		33	m	2004-04-29 22:54:23
196	US	37	f	2004-04-30 23:38:09
197	US	33	m	2004-04-29 23:18:11
198	US	39	m	2004-04-30 02:29:37
199	US	31	m	2004-05-01 10:29:48
200	US	26	m	2004-05-01 23:13:28
201	US	84	m	2004-05-02 05:12:55
202	US	29	m	2004-05-01 02:18:54
203	US	29	m	2004-04-30 09:02:04
204		28	m	2004-05-02 20:47:14
205	US	50	m	2004-05-03 07:01:37
206	US	27	m	2004-05-03 02:41:21
207	BE	26	m	2004-05-02 17:13:10
208	PL	27	m	2004-05-01 23:55:58
209	CA	31	m	2004-05-04 04:06:42
210	SE	30	m	2004-05-03 01:26:17
211	DK	-1		2004-05-03 15:32:37
212	SE	38	m	2004-05-18 13:15:16
213	US	32	m	2004-05-18 05:24:16
214	BE	35	m	2004-05-05 12:17:24
215	US	35	n	2004-05-06 01:25:05
216	SE	26	m	2004-05-18 19:22:47
217	US	29	m	2004-05-19 19:28:20
218	UK	39	m	2004-05-19 10:50:28
219	UK	-1	m	2004-05-19 13:38:18
220	US	37	n	2004-05-20 03:06:17
221	PL	28	m	2004-05-20 16:54:20
222	NO	33	n	2004-05-26 14:47:26
223	IT	25	m	2004-05-25 00:37:52
224	NL	27	m	2004-05-26 12:53:53
225	DK	48	m	2004-05-23 19:52:28
226	US	29	m	2004-05-24 04:57:41
227	DE	27	m	2004-05-27 18:18:38
228	US	24	m	2004-05-25 18:44:18
229	NO	-1	m	2004-05-19 13:42:46
230	FR	28	m	2004-05-20 16:03:01
231	NL	-1	m	2004-05-22 16:11:38
232	CC	-1	n	2004-05-22 17:31:28
233	BE	33	m	2004-07-27 01:06:00
234	US	24	m	2004-07-30 10:37:16
235		-1	n	2004-07-28 12:38:03
236		-1	n	2004-08-01 13:57:34
237	JP	-1	m	2004-05-27 05:39:48
238	NL	43	m	2004-08-01 19:17:56
239	RS	26	m	2004-08-02 12:20:07
240	US	24	m	2004-05-21 00:20:09
241	UK	24	m	2004-08-02 19:27:01
242	UK	32	m	2004-08-02 16:01:06
243		-1	n	2004-08-03 00:28:37
244		-1	n	2004-08-02 21:23:42
245	US	37	f	2004-08-03 16:46:00
246	US	29		2004-08-03 18:30:28
247	MX	-1	m	2004-08-04 17:11:40
248	AT	24	m	2004-08-01 09:51:24
249	UK	31	m	2004-07-30 16:56:01
250	DE	27	m	2004-08-06 14:27:53
251		-1		2004-08-01 00:31:46
252	US	28	m	2004-08-04 04:16:26
253	US	23	f	2004-07-28 20:58:53
254	IS	34	m	2004-08-06 22:19:19
255	JP	29	f	2004-07-31 05:25:38
256	CA	-1	n	2004-08-05 18:43:24
257	DE	29	m	2004-07-27 11:58:31
258	US	31	f	2004-08-08 14:36:57
259	US	28	m	2004-08-07 01:48:22
260	AU	37	m	2004-07-30 11:55:02
261	PL	32	m	2004-07-31 00:52:39
262	CH	26	m	2004-08-07 12:37:33
263	UK	24	m	2004-06-07 10:09:16
264	CA	36	m	2004-07-30 03:37:29
265	BG	30	m	2004-08-09 17:07:28
266	UK	26	m	2004-06-06 18:24:59
267	UK	38	m	2004-08-11 00:34:14
268	US	29	m	2004-05-06 05:59:02
269	PT	26	m	2004-08-11 00:19:19
270	AU	35	m	2004-08-13 06:05:24
271	US	25	m	2004-08-13 02:23:19
272	UK	-1	m	2004-08-15 18:41:05
273	US	35	m	2004-08-12 18:00:06
274	US	36	m	2004-08-15 05:13:58
275	UK	10	n	2004-08-12 17:02:37
276	CA	26	m	2004-08-12 01:10:35
277	US	25	m	2004-08-15 06:42:51
278	SE	25	m	2004-08-15 22:50:50
279	IE	31	m	2004-08-15 19:02:28
280	NL	28	m	2004-08-17 00:23:11
281	UK	25	f	2004-08-17 01:32:49
282	SE	26	m	2004-08-16 16:59:38
283	ST	27	m	2004-08-18 19:33:53
284	US	28	m	2004-08-17 07:16:30
285		26	m	2004-08-25 20:35:29
286	US	25	m	2004-08-25 00:45:44
287	IE	26	m	2004-08-25 03:26:50
288	SE	-1	m	2004-08-25 14:55:03
289	US	-1	m	2004-08-26 19:03:20
290	US	24	m	2004-08-26 06:43:38
291	AU	31	m	2004-08-29 10:15:06
292	HU	-1	n	2004-08-30 13:38:11
293	SE	31	m	2004-08-29 14:59:49
294	US	-1	m	2004-08-29 05:14:48
295	NL	52	m	2004-08-31 18:41:26
296	SE	-1	m	2004-08-26 03:36:27
297	US	-1	f	2004-09-01 17:39:52
298		-1	n	2004-09-02 03:13:37
299	UK	27	n	2004-09-02 23:15:03
300	US	27		2004-09-03 03:13:11
301	US	-1	m	2004-08-31 05:04:49
302	AU	-1	m	2004-09-03 11:37:43
303	UK	32	m	2004-08-24 23:38:26
304	US	21	f	2004-09-04 20:17:25
305	UK	35	m	2004-09-04 23:09:10
306	US	35	m	2004-08-18 06:36:00
307	SE	29	m	2004-08-16 22:41:17
308	NL	-1	m	2004-05-25 19:03:05
309	US	27	m	2004-08-27 07:36:01
310	US	29	m	2004-08-27 01:17:50
311	US	-1	m	2004-08-26 16:53:54
312	PL	29	m	2004-08-27 07:47:55
313	AR	33	m	2004-08-29 22:41:36
314	BG	27	m	2004-08-29 09:53:04
315	FI	24	f	2004-09-03 15:19:16
316	JP	45	m	2004-09-01 17:34:04
317	AU	26	m	2004-08-31 08:00:04
318	DE	36	m	2004-08-31 21:10:37
319	DE	-1	m	2004-09-03 10:49:53
320	US	25	f	2004-09-01 04:07:12
321	BG	27	m	2004-09-05 00:24:54
322	UK	30	m	2004-09-05 13:02:49
323	UK	27	m	2004-09-06 01:01:42
324	US	23	f	2004-09-06 09:56:44
325	US	23	m	2004-09-06 13:53:04
326	SE	28	m	2004-09-05 19:27:13
327	US	30	n	2004-09-06 20:39:07
328	US	27	m	2004-09-07 09:29:48
329	DE	37	m	2004-09-07 17:28:50
330	JP	-1	m	2004-09-08 16:05:10
331	UK	31	m	2004-09-06 15:26:49
332	US	28	f	2004-09-08 20:14:46
333	SE	29	m	2004-09-10 00:28:14
334	US	40	n	2004-09-11 00:34:28
335	DE	34	m	2004-09-11 17:20:11
336	UK	47	m	2004-09-10 16:16:26
337	BR	41	m	2004-09-09 21:21:44
338	SE	30	n	2004-09-12 21:28:21
339	US	32	m	2004-09-13 15:43:24
340	NI	29	m	2004-09-14 00:10:07
341		-1	n	2004-09-07 15:51:22
342	US	31	m	2004-09-15 07:07:55
343	CA	34	m	2004-09-15 22:40:38
344	DE	-1	n	2004-09-17 07:31:51
345	US	-1		2004-09-22 00:45:56
346	NL	31	m	2004-09-16 18:19:12
347		-1		2004-09-25 00:03:19
348	CA	27	m	2004-09-24 15:12:03
